model,ALPINE_P_291_KS,All_manure_CaO_SPXY_strat_Manure_type,All_manure_K2O_SPXY_strat_Manure_type,All_manure_MgO_SPXY_strat_Manure_type,All_manure_P2O5_SPXY_strat_Manure_type,All_manure_Total_N_SPXY_strat_Manure_type,An_spxyG70_30_byCultivar_ASD,An_spxyG70_30_byCultivar_MicroNIR,An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,An_spxyG70_30_byCultivar_NeoSpectra,Beef_Marbling_RandomSplit,Beer_OriginalExtract_60_KS,Beer_OriginalExtract_60_YbaseSplit,Biscuit_Fat_40_RandomSplit,Biscuit_Sucrose_40_RandomSplit,Brix_spxy70,C_woOutlier,Ccar_spxyG_block2deg,Chla+b_spxyG_block2deg,Chla+b_spxyG_species,Corn_Oil_80_ZhengChenPelegYbaseSplit,Corn_Starch_80_ZhengChenPelegYbaseSplit,DIESEL_bp50_246_b-a,DIESEL_bp50_246_hla-b,DIESEL_bp50_246_hlb-a,Escitalopramt_310_Zhao,Firmness_spxy70,Fv_Fm_grp70_30,LMA_spxyG70_30_byCultivar_ASD,LP_spxyG,LUCAS_SOC_Cropland_8731_NocitaKS,LUCAS_pH_Organic_1763_LiuRandomOrganic,MP_spxyG,Malaria_Oocist_333_Maia,Malaria_Sporozoite_229_Maia,Milk_Fat_1224_KS,Milk_Lactose_1224_KS,Milk_Urea_1224_KS,NP_spxyG,N_wOutlier,N_woOutlier,Pi_spxyG,Quartz_spxy70,Rd25_CBtestSite,Rd25_GTtestSite,Rd25_XSBNtestSite,Rd25_spxy70,Rice_Amylose_313_YbasedSplit,TIC_spxy70,V25_spxyG,WOOD_Density_402_Olale,WOOD_N_402_Olale,WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,brix_groupSampleID_stratDateVar_balRows,grapevine_chloride_556_KS,ph_groupSampleID_stratDateVar_balRows,ta_groupSampleID_stratDateVar_balRows
pipeline-snv-asls-osc3-compact,0.1004813736425846,12.26796917429779,3.455745893598352,1.524519330632729,5.173446095273111,3.123645549104733,3.4335536110552045,4.227213941344783,4.213602215096572,4.324415312389364,98.74169528186808,0.5485900848886652,0.7462271103344279,1.9971132649183152,3.9679802216151625,1.819514641983106,2.352622727739252,38.36390935742953,23.7767790209154,29.52983281696509,0.137309529005664,0.7667928422286681,14.355608225389224,17.13778007316941,14.578743445748923,0.9599728876922944,0.3055243586260102,0.0334948385293222,0.7754094473505875,0.1551239652108558,7.36584195677784,0.8047712710219326,0.0194477699142704,8274.909422583354,33920.399187684496,0.3334244026954026,0.1611423152209696,5.17407334325226,0.1059571225458746,1.3589496526963794,1.3588163721954571,0.1494594055747689,0.0669178659547468,0.3730138174020031,0.443013082186573,0.3379194718352838,0.247203102309557,5.339657739371414,6.372367473245718,0.2060354495519118,0.155035241832495,0.0615245316868438,1.768287685979573,5.299242996624475,1486.0769725561709,0.445472996565193,2.407884138066968
pipeline-snv-asls-osc3-default,0.0986298297869067,12.26796917429779,3.438338800785405,1.5246819272371666,5.170938402281728,3.125774142992792,3.476257171450452,4.232817839143871,4.202643762375059,4.356723960069083,98.738633201684,0.3849615933274015,0.6057171547527315,1.7617026193418048,4.573413291861569,1.819514641983106,2.352622727739252,36.99616656524763,23.78496167013272,29.52983281696509,0.1407926749900311,0.767304783929998,14.351182792085192,17.135413738884264,14.5823928397877,0.9450752824761314,0.3055243586260102,0.0334724318986774,0.7754094473505875,0.1621223203848826,7.36584195677784,0.8047712710219326,0.0194069579534964,8282.08486682126,33977.29077227189,0.3300928368827034,0.1611427180244047,5.17373511450266,0.1059571225458746,1.3598662212051733,1.36583804483548,0.1494523370193925,0.0671332833590816,0.3723745597492472,0.44993564908599,0.3373713576413187,0.2472018704004392,5.311770195934438,6.533235348143153,0.2005199355076501,0.157885090326946,0.0641576675143757,1.7413725651347196,5.299567673404708,1486.1860370979512,0.4454408045490668,2.407206305127607
pipeline-snv-asls-x-compact,0.0617584430569809,7.854674950483975,2.85843787644565,0.8379029199730118,2.980210563710804,1.8931098556276704,3.652038515823463,3.8259007609015008,4.369623416835064,5.200752598820065,72.89417863208556,0.2646807690974219,0.4288762314093933,0.7130112813807301,3.0418890316283047,1.983841844886848,3.569944598795721,68.22205035366122,50.65281841123874,60.025852244151096,0.0617810112420342,0.1327437694569631,3.2385328208222224,3.042358555062463,3.0332946794109,0.4017598187800013,0.213649395977209,0.0321732263784349,0.3036536968437875,0.16429446640519,5.543619329282942,0.4090011793410598,0.0196718750377992,8091.798054367693,36361.15692890299,0.078590572569274,0.0587494253139075,4.2081667840919295,0.1034065872422462,0.2888063816742237,0.2715786428690504,0.1789729399154589,0.0163381295150056,0.2503668740135197,0.487295544986364,0.2562479839978708,0.1947990788169261,2.29340793733984,5.253637742386712,0.3551705418043724,0.1293549565127014,0.0508040906361934,1.964130459875072,4.778490582433655,945.6235905320416,0.3818761570016043,2.51698499256024
pipeline-snv-asls-x-default,0.0672337389539979,7.829242840681352,2.819555178800702,0.7878046117665176,2.983741592422172,1.9304012251337244,3.800677970773072,4.532783268917545,4.3440748711614825,5.383189312949431,71.64975708370328,0.2646355929287901,0.264766552604145,0.693315956158831,3.3345154456055326,1.8876016029765776,3.1385218191737314,104.77840045556415,51.093918150605056,60.025852244151096,0.0681792749248719,0.1484666646855748,3.3306155118264664,3.4481992343675967,3.0332946794109,0.3638760722811545,0.3225667855645388,0.0320098405753137,0.3039914366057921,0.1661186092740614,5.5177726822369255,0.4132260065707789,0.0196879367592906,8127.137732821793,36461.8962738269,0.0865098107526525,0.0611064486778604,4.272965763804075,0.1037774655283683,0.2843521893026369,0.2740500679046222,0.2113395234047318,0.0163927602150831,0.2549671229292646,0.4901450780440017,0.2670891308222128,0.1947990788169261,2.075752694736062,5.03920183327123,0.3509751848154643,0.1339750512745799,0.0506282141141909,2.088640672683771,4.331292829727534,993.3275237986604,0.3460922118922012,1.9268278812367703
pipeline-snv-x-osc1-compact,0.0981433606653454,10.009441227904794,4.017806523036002,1.3719584320988014,4.560104844837028,3.756211259912767,3.4009751367200445,4.2458428586546,4.192832617396907,4.382509234189219,97.8611133280726,0.2515827239021362,0.3150321281176468,2.127294338123208,5.331609449158499,1.837232731613576,2.314250363927386,40.843554669217895,39.86398013411949,45.54654678347552,0.1548656626784611,0.743531849484477,14.054306637856977,16.802917279963076,14.366484469388876,1.0539827442969814,0.3590063698314717,0.0333109199407796,0.5574706134767414,0.1607775764421951,7.198855917647606,1.0591397634567112,0.01952755730079,7856.057910143253,34081.41685713733,0.3327982604739881,0.1608377678307754,5.176838995943543,0.1116703500101229,1.3563592237693918,1.3552417323285255,0.1543699227724538,0.0657042226343402,0.3648755603489023,0.4487913050823379,0.2620734403033234,0.2472091830024913,5.377751556340925,6.53714651607062,0.2214008161869204,0.1554055303739586,0.0623493198012455,1.8368096367222184,5.355216120876512,1463.2462672156998,0.4487604088214855,2.405520353746766
pipeline-snv-x-osc1-default,0.0981433606653454,10.009441227904794,4.024862184193581,1.371855983708573,4.557451700419102,3.756328736496545,3.4213023753844536,4.24155695583324,4.192832617396907,4.31875993963288,96.77058774798805,0.2570683911486707,0.2952904242086773,1.996461904238203,7.179187754020012,1.837240507726575,2.314250363927386,43.2884071985461,39.69269037654958,43.60640272941122,0.1548656626784611,0.7435871649498,14.04757421937737,17.215349042403727,14.343131380600262,1.062681543668128,0.3595069994777063,0.0331768833297895,0.5574706134767413,0.1607775764421951,7.198855917647606,1.0591397634567112,0.0194644006505358,7823.814256066388,34172.28407204965,0.3395395255513064,0.1608379315597468,5.17674118012917,0.1116535661614581,1.3563592237693918,1.3552417323285255,0.1512751079572889,0.0656766085753199,0.373491401454611,0.4258666627045749,0.2578177064579544,0.2486745584149016,5.3499191205513,6.537510060072925,0.2214008161869204,0.1540272223840383,0.0631484538858398,1.8406059888897228,5.355246997493977,1463.4490890646853,0.4487604088214855,2.4054917463237664
pipeline-snv-x-osc2-compact,0.0980586482977302,10.0300519720197,4.018431852902197,1.3719027572661666,4.562383816429903,3.713350855672372,3.389945498270489,4.248980095322191,4.19287919089722,4.441233069200489,96.52738332698064,0.2485522963320132,0.3119779762888823,2.147190544332134,4.490599647680861,1.8376903325479363,2.2877682493527174,45.90327384472898,39.25063751680104,45.849646082370434,0.169268456459507,0.75105379206125,14.055576129536195,16.802625393523087,14.37512247970435,0.9495688950736614,0.3590063698314717,0.0333949432327768,0.5574706134767418,0.1608729505765948,7.198855917647606,1.0597760898219817,0.0196040950982105,7854.37421053969,34043.20375116514,0.3381620927423087,0.1608212073120849,5.175609515454152,0.1124613594176796,1.355847734047266,1.354667502690149,0.1574292124795884,0.0706493020865789,0.3604838792366976,0.4340049019608963,0.2622483853147408,0.248030683465596,5.365613153182682,6.519934834348117,0.2166682513007228,0.155392546529749,0.0608502889899139,1.813319645333306,5.35524003229594,1464.112230154044,0.4487638486661772,2.4055454049445646
pipeline-snv-x-osc2-default,0.0980586482977302,10.0300519720197,4.019986706131942,1.371738404049858,4.5617946158206335,3.713350855672372,3.3995422066555854,4.189205589953956,4.19287919089722,4.437441455633038,96.74884112627797,0.2571886392729809,0.302085188394144,2.0178668171385463,4.471263539889601,1.8376903325479363,2.288179623983812,45.812153069605145,38.813286479563445,45.69054945718421,0.1695352146732317,0.7444619014603965,14.044412894102232,17.208981134034264,14.35283828530438,0.9318163585238112,0.3595030152369804,0.0332046104945536,0.5574706134767418,0.1608729505765948,7.198855917647606,1.0597760898219817,0.0196574111775291,7823.069751260037,34144.76725329338,0.3512043668528131,0.1608312634934497,5.170913262287858,0.1126452410262757,1.355847734047266,1.354667502690149,0.1612768024452666,0.0706493020865789,0.3554359999764673,0.4127376878487417,0.2551424767944527,0.2480306834655962,5.35140219072602,6.5554878295587615,0.2199915768256889,0.1545487078390213,0.0609649779032923,1.8156368901157336,5.3552432463393735,1464.496391835821,0.4487563549829328,2.405525845991971
pipeline-snv-x-osc3-compact,0.0980597424087325,9.9850300775245,4.02364117326329,1.3640876658622898,4.527199277856123,3.7545147271911112,3.39686284555258,4.257931217728413,4.192815021882595,4.444774153694018,96.6248446619888,0.2480624306329765,0.3089562879287751,1.9731809720653384,4.490371372555125,1.8363659445452327,2.287806471103926,44.8341694385712,41.65780112908443,45.685260168382015,0.1692036382645509,0.7510593861307695,14.063750978400238,16.80196776369798,14.366893941666476,0.9678602159487524,0.3590063698314717,0.0330369898979733,0.5574706134767416,0.1681811695419183,7.198855917647607,1.0563411922814931,0.0195811025588161,7842.023066695069,34080.83602918981,0.3323817003775347,0.1608239829267871,5.176203508554614,0.1171226381668029,1.3558312436394626,1.3546819115689523,0.1552093601044684,0.0706493030848218,0.3622732209652338,0.420684505280747,0.2629031271672039,0.245993360856315,5.379557035103058,6.519596241880635,0.2327518532533552,0.1552011706853426,0.0608161196866752,1.808844312192288,5.3551796322842735,1464.1200601467474,0.4487708647943579,2.405492974197488
pipeline-snv-x-osc3-default,0.0980597424087325,9.98478579199217,4.031958224998305,1.3640876658622898,4.527199277856123,3.753157180447584,3.410728626505144,4.267797803507947,4.188702180467263,4.444669870408549,96.49230966392248,0.2579046507679123,0.3314466069919951,1.935974684307591,4.471119906766855,1.8363659445452327,2.288092481286529,44.60174021549,41.65780112908443,42.796440573504526,0.1694184628842407,0.7515591393590096,14.067913896760365,17.13381150458212,14.36465320133243,0.9599762706658198,0.3590063698314717,0.0327316750373971,0.5574706134767416,0.1681675327608442,7.198855917647607,1.0563411922814931,0.0194863959344121,7793.861532680306,34076.33444950707,0.3323817003775346,0.1608288533669628,5.174759882840545,0.1171175779585265,1.3573023670675846,1.3546819115689523,0.1579670593001413,0.0706493030848218,0.3622732209652338,0.4134846307575942,0.2629031271672039,0.247035790428401,5.368630286546374,6.520046769811925,0.2146159503495357,0.1544645174637254,0.0609449670763326,1.8073999388321813,5.355215267986295,1464.4824597396198,0.4487624063937637,2.405456806056477
pipeline-snv-x-x-compact,0.0577981858379845,7.501335895093815,2.684298016411573,0.7892642770749001,2.7762949694804435,2.0052825480187804,3.663345063039398,4.095197895076004,4.465830678783534,5.074390594846375,73.0619240225221,0.2013685129868688,0.2666225967079605,1.0704203982608196,2.745411941736584,1.8904020611203485,3.25057209363664,66.6777087778703,47.66788906580381,55.959428691966544,0.0560633043430345,0.1366980161926531,3.1102987429017355,2.873144470286951,2.924556953814528,0.39309429505076,0.2166475152338284,0.0340052221739491,0.307346873715306,0.1692678440752197,5.083502794380522,0.3868209612903601,0.0223133351256375,8250.795552944859,35588.28544741932,0.0777117948384832,0.0580864938195515,4.242611222291897,0.1200995394399411,0.2808326467849152,0.261313477617408,0.1841557002768255,0.0513078517591732,0.2656565231905903,0.4608590280044481,0.2552675933990025,0.1840663127739677,2.3935220866245777,3.8677081338308192,0.3544590087797707,0.1307208388233883,0.0520768693173698,2.105269166234936,4.742529413222882,942.641546347164,0.3876772684728021,2.4503506553443257
pipeline-snv-x-x-default,0.0619421175325907,7.269279493617364,2.621673234739587,0.7349188963097685,3.0526662943038487,1.994575170333642,3.79781959529445,4.59287518764909,4.32548376237473,5.386142744672812,72.55301687265806,0.2281854414854232,0.2325915818800397,1.0704203982608196,2.979368383428012,1.8904020611203485,2.591496551598828,95.53593470275727,53.12800033278465,52.241316956587305,0.0560633043430345,0.1541622969824178,3.293885587388158,3.1134889232135734,3.028884017331274,0.3766029677302629,0.3840883733967296,0.0323650484799103,0.30855349923052,0.1692678440752178,5.368580261204412,0.3958642807003063,0.0223133351256375,8252.631914878455,34635.52322135693,0.0777117948384832,0.0565498135895702,4.26973907155695,0.1160455024714184,0.2861611982186568,0.2688208655620321,0.1998134345166078,0.0518710251856862,0.245760016263662,0.4462321985966674,0.2449859632774053,0.1937904701689789,1.8949182643767408,3.2476080067583992,0.3544590087797703,0.1318338469271885,0.0503904126909967,1.9927807045559225,4.247042161738857,932.586649948704,0.3439198901474636,1.915694170238284
pipeline-x-asls-osc1-compact,0.1006008474750145,12.155184458913828,3.557272213386809,1.5135279459097633,5.20637789988586,3.240434028339397,3.4280181083047148,4.243213373196916,4.154196523679988,4.317120021123809,94.10971777815504,0.3434627693094726,0.5260089758133936,1.4376458033200854,4.092691860101492,1.773100637118422,2.389506710065982,37.134582332380646,30.27348599088368,32.71714493884268,0.156604229699774,0.7803138920947738,14.28793718286092,17.136036611994065,14.565801183641652,3.074657652922256,0.2411482483700255,0.0357360123149476,0.7183531720721629,0.1874377509453736,8.416841727490265,1.03133539958529,0.0201555816420481,8038.011147614522,33953.051077013595,0.3974509878479653,0.1616551197027811,5.184680984826107,0.1386722679566674,1.3888800744681464,1.3848466910915556,0.1875224225430879,0.1299631593816974,0.3506600295339689,0.3157801429964799,0.3541685765681886,0.2369542132538276,5.35269847752568,6.547236328627687,0.2550401314320958,0.1536894908949841,0.0661645375151133,1.7322652861148635,5.325972088336124,1484.949325483013,0.4424644346728033,2.3991851034899514
