source,model_class,paper_model_label,dataset_group,dataset,metric_name,metric_value,lower_is_better,in_core_57
TabPFN_paper/master_pivot,Paper_PLS,PLS,GRAPEVINES,grapevine_chloride_556_KS,RMSEP,915.735138197346,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_ASD,RMSEP,3.6181784712144247,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_MicroNIR,RMSEP,3.7318902219042944,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,RMSEP,4.202132209872175,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_NeoSpectra,RMSEP,4.927187099416517,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,GRAPEVINE_LeafTraits,LMA_spxyG70_30_byCultivar_ASD,RMSEP,0.3123729471050324,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,GRAPEVINE_LeafTraits,WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,RMSEP,1.85348186559904,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,IncombustibleMaterial,TIC_spxy70,RMSEP,2.787786960121247,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,LUCAS,LUCAS_SOC_Cropland_8731_NocitaKS,RMSEP,4.8609064546427785,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,LUCAS,LUCAS_pH_Organic_1763_LiuRandomOrganic,RMSEP,0.3281973936518934,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,MANURE21,All_manure_CaO_SPXY_strat_Manure_type,RMSEP,7.528544191989094,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,MANURE21,All_manure_K2O_SPXY_strat_Manure_type,RMSEP,2.36091887824198,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,MANURE21,All_manure_MgO_SPXY_strat_Manure_type,RMSEP,0.7826806868853714,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,MANURE21,All_manure_P2O5_SPXY_strat_Manure_type,RMSEP,2.3003293127604723,True,True
TabPFN_paper/master_pivot,Paper_PLS,PLS,MANURE21,All_manure_Total_N_SPXY_strat_Manure_type,RMSEP,1.7584969529696053,True,True
