source,model,dataset_group,dataset,task,metric_name,metric_value,lower_is_better
AOM_v0/tabpfn_comparison_per_dataset,PLS-standard-numpy,LUCAS,LUCAS_SOC_Cropland_8731_NocitaKS,regression,RMSEP,5.35964769022926,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,PLUMS,Firmness_spxy70,regression,RMSEP,0.4903280575484634,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,PEACH,Brix_spxy70,regression,RMSEP,2.0181761646620657,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,BEER,Beer_OriginalExtract_60_KS,regression,RMSEP,0.2195069472589186,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,BEER,Beer_OriginalExtract_60_YbaseSplit,regression,RMSEP,0.2327825566430517,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,BISCUIT,Biscuit_Sucrose_40_RandomSplit,regression,RMSEP,4.750023851659158,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,BISCUIT,Biscuit_Fat_40_RandomSplit,regression,RMSEP,0.5666989713446977,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,IncombustibleMaterial,TIC_spxy70,regression,RMSEP,4.082664955955707,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,CORN,Corn_Oil_80_ZhengChenPelegYbaseSplit,regression,RMSEP,0.0292773551075146,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,CORN,Corn_Starch_80_ZhengChenPelegYbaseSplit,regression,RMSEP,0.1672200488950641,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,GRAPEVINE_LeafTraits,WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,regression,RMSEP,1.7478850567169264,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_ASD,regression,RMSEP,3.899854496051621,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,regression,RMSEP,4.395372997755818,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_MicroNIR,regression,RMSEP,4.21096610756084,True
AOM_v0/tabpfn_comparison_per_dataset,AOM-default-simpls-covariance-numpy,GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_NeoSpectra,regression,RMSEP,5.387136488497643,True
