dataset,database_name,pipeline,n_train,n_test,n_features,ref_rmse_pls,ref_rmse_paper_ridge,ref_rmse_tabpfn_raw,ref_rmse_tabpfn_opt,ref_rmse_cnn,ref_rmse_catboost,ref_rmse_aom_ridge_curated_best,status,error_message,rmsep,fit_time_s,predict_time_s,relative_rmsep_vs_pls,relative_rmsep_vs_paper_ridge,relative_rmsep_vs_tabpfn_raw,relative_rmsep_vs_tabpfn_opt,relative_rmsep_vs_cnn,relative_rmsep_vs_catboost,relative_rmsep_vs_aom_ridge_curated_best
Biscuit_Sucrose_40_RandomSplit,BISCUIT,PLS-baseline,40,32,700,1.5986900396222972,1.1462177673520162,1.5066320314346833,0.9563602522311316,,1.5124326715988914,0.7737680783652301,OK,,1.9993117175428343,0.0019430799875408,0.0002010139869526,0.2505937160997056,0.7442686498933178,0.3270073089040852,1.090542463343242,,0.3219178315086457,1.5838643043621778
Biscuit_Sucrose_40_RandomSplit,BISCUIT,FCK-PLS,40,32,700,1.5986900396222972,1.1462177673520162,1.5066320314346833,0.9563602522311316,,1.5124326715988914,0.7737680783652301,OK,,1.6006918450806762,0.0267144429963082,0.0035174380755051,0.0012521535812233,0.3964988946023604,0.0624305150053294,0.6737331370122892,,0.0583557702363572,1.068697184384396
Biscuit_Sucrose_40_RandomSplit,BISCUIT,FCK-Ridge,40,32,700,1.5986900396222972,1.1462177673520162,1.5066320314346833,0.9563602522311316,,1.5124326715988914,0.7737680783652301,OK,,2.939620016233016,0.0076447110623121,0.0033717900514602,0.8387679558743757,1.5646261120381202,0.9511200843339144,2.0737580418833352,,0.9436369442649976,2.7990970400894097
Biscuit_Sucrose_40_RandomSplit,BISCUIT,FCK-AOMPLS,40,32,700,1.5986900396222972,1.1462177673520162,1.5066320314346833,0.9563602522311316,,1.5124326715988914,0.7737680783652301,OK,,1.1421796640012798,6.133524880977348,0.0036709050182253,-0.2855527740254586,-0.0035229809428493,-0.2418987249901726,0.1942985515517217,,-0.2448062743885273,0.4761266275217855
Biscuit_Sucrose_40_RandomSplit,BISCUIT,ASLS-FCK-PLS,40,32,700,1.5986900396222972,1.1462177673520162,1.5066320314346833,0.9563602522311316,,1.5124326715988914,0.7737680783652301,OK,,1.854121752338842,0.0387469929410144,0.0239172088913619,0.1597756327905142,0.6175999056638428,0.2306400724623272,0.9387273237394448,,0.2259201927836753,1.3962241454262587
Biscuit_Sucrose_40_RandomSplit,BISCUIT,Concat-SNV-FCK-AOMPLS,40,32,700,1.5986900396222972,1.1462177673520162,1.5066320314346833,0.9563602522311316,,1.5124326715988914,0.7737680783652301,OK,,2.008143218313521,6.795150883030146,0.0043313390342518,0.25611792689217,0.751973556432229,0.3328690592096839,1.0997769550006309,,0.3277571002156292,1.5952779320596986
Ccar_spxyG_block2deg,ECOSIS_LeafTraits,PLS-baseline,1016,3229,196,64.29414172192388,66.63105982394346,32.423696411112154,30.400491431444763,6.3384977343867615,39.54812279603111,,OK,,56.20719500584526,0.0062059940537437,0.0084334739949554,-0.1257804599220744,-0.156441528104772,0.7335221220052532,0.8488910000878249,7.86758935022057,0.4212354729384522,
Ccar_spxyG_block2deg,ECOSIS_LeafTraits,FCK-PLS,1016,3229,196,64.29414172192388,66.63105982394346,32.423696411112154,30.400491431444763,6.3384977343867615,39.54812279603111,,OK,,63.35244480283445,0.1788708290550857,0.1811845490010455,-0.0146466986551018,-0.0492055061073913,0.9538933500846154,1.083928312333327,8.994867468224108,0.6019077600616798,
Ccar_spxyG_block2deg,ECOSIS_LeafTraits,FCK-Ridge,1016,3229,196,64.29414172192388,66.63105982394346,32.423696411112154,30.400491431444763,6.3384977343867615,39.54812279603111,,OK,,50.43860435018425,0.1881745560094714,0.1652412740513682,-0.2155023303937344,-0.2430166279291351,0.5556093207466031,0.6591377959769773,6.957501361332284,0.2753729073392597,
Ccar_spxyG_block2deg,ECOSIS_LeafTraits,FCK-AOMPLS,1016,3229,196,64.29414172192388,66.63105982394346,32.423696411112154,30.400491431444763,6.3384977343867615,39.54812279603111,,OK,,76.14824770178656,10.751544516999274,0.2001715590013191,0.1843730340336826,0.142834106240993,1.348536907583716,1.5048360771899425,11.01361125187083,0.9254579564881014,
Ccar_spxyG_block2deg,ECOSIS_LeafTraits,ASLS-FCK-PLS,1016,3229,196,64.29414172192388,66.63105982394346,32.423696411112154,30.400491431444763,6.3384977343867615,39.54812279603111,,OK,,73.3095786217532,0.2823378860484808,0.6165001209592447,0.1402217473999676,0.1002313157775987,1.260987695302648,1.4114603142870714,10.56576553211402,0.8536803630312957,
Ccar_spxyG_block2deg,ECOSIS_LeafTraits,Concat-SNV-FCK-AOMPLS,1016,3229,196,64.29414172192388,66.63105982394346,32.423696411112154,30.400491431444763,6.3384977343867615,39.54812279603111,,OK,,67.3199428389859,11.67784723592922,0.2387526179663837,0.0470618478764175,0.0103387671884949,1.0762574996203766,1.2144360064309183,9.62080411794909,0.7022285276645761,
LUCAS_pH_Organic_1763_LiuRandomOrganic,LUCAS,PLS-baseline,1175,588,4200,0.3281973936518934,0.3307517321744063,0.3437161762845032,0.2503169152062248,0.2937801661651289,0.390868687416521,,OK,,0.5847762036255687,0.6915585290407762,0.0077305890154093,0.7817819852823658,0.7680215906389105,0.701334542781407,1.336143377061826,0.990523088263473,0.496093758470896,
LUCAS_pH_Organic_1763_LiuRandomOrganic,LUCAS,FCK-PLS,1175,588,4200,0.3281973936518934,0.3307517321744063,0.3437161762845032,0.2503169152062248,0.2937801661651289,0.390868687416521,,OK,,0.4839988946361854,4.929456696962006,0.7266676200088114,0.4747188856397342,0.4633298862996473,0.4081353396517666,0.9335444999289824,0.6474866256428546,0.2382646914881216,
