dataset,database_name,pipeline,n_train,n_test,n_features,ref_rmse_pls,ref_rmse_paper_ridge,ref_rmse_tabpfn_raw,ref_rmse_tabpfn_opt,ref_rmse_cnn,ref_rmse_catboost,ref_rmse_aom_ridge_curated_best,status,error_message,rmsep,fit_time_s,predict_time_s,relative_rmsep_vs_pls,relative_rmsep_vs_paper_ridge,relative_rmsep_vs_tabpfn_raw,relative_rmsep_vs_tabpfn_opt,relative_rmsep_vs_cnn,relative_rmsep_vs_catboost,relative_rmsep_vs_aom_ridge_curated_best
Quartz_spxy70,QUARTZ,FCK-PLS,212,91,1500,3.3987655009200003e-09,3.3977579071917587e-09,0.0005494316147727,0.0004709108899428,0.0109287547359119,0.0069035822134068,3.398357209136491e-09,OK,,3.796894628523301e-07,1.353661522967741,0.1021014379803091,110.71393341186771,110.74706180468957,-0.9993089413629586,-0.9991937127151628,-0.9999652577560731,-0.999945001094922,110.72735515605429
Quartz_spxy70,QUARTZ,FCK-AOMPLS,212,91,1500,3.3987655009200003e-09,3.3977579071917587e-09,0.0005494316147727,0.0004709108899428,0.0109287547359119,0.0069035822134068,3.398357209136491e-09,OK,,4.07969100726597e-09,99.25701988302173,0.0661244509974494,0.2003449505891632,0.2007009088642892,-0.9999925747064828,-0.9999913365965952,-0.999999626701202,-0.9999994090472336,0.2004891646757178
Quartz_spxy70,QUARTZ,Concat-SNV-FCK-AOMPLS,212,91,1500,3.3987655009200003e-09,3.3977579071917587e-09,0.0005494316147727,0.0004709108899428,0.0109287547359119,0.0069035822134068,3.398357209136491e-09,OK,,4.160642607205314e-09,138.04181239602622,0.054712518001906574,0.22416289269709377,0.22452591410318523,-0.9999924273694936,-0.99999116469231,-0.9999996192939903,-0.9999993973212054,0.22430996836336603
LUCAS_pH_Organic_1763_LiuRandomOrganic,LUCAS,PLS-baseline,1175,588,4200,0.3281973936518934,0.3307517321744063,0.3437161762845032,0.2503169152062248,0.2937801661651289,0.390868687416521,,OK,,0.5847762036255687,0.6274592190748081,0.008259732043370605,0.7817819852823658,0.7680215906389105,0.701334542781407,1.336143377061826,0.990523088263473,0.496093758470896,
LUCAS_pH_Organic_1763_LiuRandomOrganic,LUCAS,FCK-PLS,1175,588,4200,0.3281973936518934,0.3307517321744063,0.3437161762845032,0.2503169152062248,0.2937801661651289,0.390868687416521,,OK,,0.4839988946361854,6.389589261030778,0.8990122510585934,0.4747188856397342,0.46332988629964733,0.4081353396517666,0.9335444999289824,0.6474866256428546,0.23826469148812168,
LUCAS_pH_Organic_1763_LiuRandomOrganic,LUCAS,FCK-AOMPLS,1175,588,4200,0.3281973936518934,0.3307517321744063,0.3437161762845032,0.2503169152062248,0.2937801661651289,0.390868687416521,,OK,,0.517840322631921,415.68820396705996,1.103318027104251,0.5778319165482917,0.5656465930732071,0.5065928180327788,1.0687388313542288,0.7626796573491339,0.3248447350813124,
LUCAS_pH_Organic_1763_LiuRandomOrganic,LUCAS,Concat-SNV-FCK-AOMPLS,1175,588,4200,0.3281973936518934,0.3307517321744063,0.3437161762845032,0.2503169152062248,0.2937801661651289,0.390868687416521,,OK,,0.46204651968878574,576.1312955520116,2.0981105000246316,0.40783116693138965,0.3969587298945645,0.3442676009124963,0.8458461718742678,0.5727628100975242,0.18210164836359888,
Fv_Fm_grp70_30,FUSARIUM,PLS-baseline,351,167,2177,0.0315504531041416,0.0283570670054036,0.0309108634547573,0.0255441423119991,0.0296308592414648,0.0294391221860153,0.0301364783766884,OK,,0.03186452399758086,0.5306438100524247,0.0010484459344297647,0.009954560475013752,0.12368899052602611,0.03085195417524922,0.2474297867739652,0.07538305716731686,0.08238702894197414,0.05734066201408461
Fv_Fm_grp70_30,FUSARIUM,FCK-PLS,351,167,2177,0.0315504531041416,0.0283570670054036,0.0309108634547573,0.0255441423119991,0.0296308592414648,0.0294391221860153,0.0301364783766884,OK,,0.030210019613145626,2.4978230700362474,0.16203645197674632,-0.04248539590133538,0.06534359168347459,-0.022673059348130686,0.18265938406374982,0.019545851403133252,0.02618615535678348,0.002440273065021259
Fv_Fm_grp70_30,FUSARIUM,FCK-AOMPLS,351,167,2177,0.0315504531041416,0.0283570670054036,0.0309108634547573,0.0255441423119991,0.0296308592414648,0.0294391221860153,0.0301364783766884,OK,,0.03277963320503445,259.70159851794597,0.16605881694704294,0.03895919012115545,0.15595993051002432,0.06045673078697322,0.28325440739642893,0.10626671126577802,0.1134718283348144,0.08770616112832275
Fv_Fm_grp70_30,FUSARIUM,Concat-SNV-FCK-AOMPLS,351,167,2177,0.0315504531041416,0.0283570670054036,0.0309108634547573,0.0255441423119991,0.0296308592414648,0.0294391221860153,0.0301364783766884,OK,,0.03276609716457431,205.73106681602076,0.15160929400008172,0.03853016171971024,0.15548258775600954,0.06001882517880541,0.28272449958841506,0.10580988885810383,0.11301203064198173,0.08725700312482454
Escitalopramt_310_Zhao,TABLET,PLS-baseline,207,103,404,0.337655637335533,0.3791222563597828,0.8433432586902941,0.3284213500881314,0.3195409959979831,0.3107165334629424,0.3676580405487562,OK,,0.4146152537633887,0.007896951981820166,0.00028142996598035097,0.22792338678290713,0.09361887045197226,-0.5083671452982466,0.2624491484860143,0.2975338343315601,0.33438426704396074,0.12771980491585455
Escitalopramt_310_Zhao,TABLET,FCK-PLS,207,103,404,0.337655637335533,0.3791222563597828,0.8433432586902941,0.3284213500881314,0.3195409959979831,0.3107165334629424,0.3676580405487562,OK,,0.35915382923673456,0.5133156710071489,0.027799312956631184,0.06366898557016687,-0.05267015266995678,-0.5741309063233662,0.0935763741923481,0.1239679219094676,0.1558890195959559,-0.023130763846014424
Escitalopramt_310_Zhao,TABLET,FCK-AOMPLS,207,103,404,0.337655637335533,0.3791222563597828,0.8433432586902941,0.3284213500881314,0.3195409959979831,0.3107165334629424,0.3676580405487562,OK,,0.3589644545485712,26.25006351794582,0.022729168995283544,0.06310813401839721,-0.053169660902424254,-0.574355458646767,0.0929997530679525,0.12337527592496134,0.15527954224998797,-0.023645847612115967
Escitalopramt_310_Zhao,TABLET,Concat-SNV-FCK-AOMPLS,207,103,404,0.337655637335533,0.3791222563597828,0.8433432586902941,0.3284213500881314,0.3195409959979831,0.3107165334629424,0.3676580405487562,OK,,0.29400696524212744,37.16912128101103,0.0599270659731701,-0.12926978633568997,-0.2245061841921565,-0.6513792430158059,-0.10478729484781946,-0.07990846581706468,-0.053777531676819645,-0.2003249410694221
WOOD_N_402_Olale,WOOD_density,PLS-baseline,216,186,1038,0.050733292038705,0.0491404173686128,0.048441743675388,0.0472945910950756,0.0648556609480335,0.0509146784257037,0.0484009753974356,OK,,0.050728133260612006,0.02301106892991811,0.0006491480162367225,-0.00010168427645218525,0.03230977629044962,0.04719874661294776,0.07259904538838313,-0.21783029393134035,-0.0036638779004350974,0.0480808050678192
