our_variant,opponent,wins,n_valid,win_rate,median_ratio,median_pct
V2C-wide,paper CatBoost,3,10,0.3,1.2407954973172832,24.07954973172832
V2C-wide,paper TabPFN-raw,3,10,0.3,1.2419072807006584,24.190728070065838
V2C-wide,paper PLS,3,10,0.3,1.2766899993903342,27.668999939033423
V2C-wide,paper Ridge,3,10,0.3,1.3089535308413778,30.895353084137778
V2C-wide,AOM-Ridge-best,1,7,0.14285714285714285,1.3197307626476134,31.973076264761335
V2C-wide,paper TabPFN-opt,3,10,0.3,1.6115596725838568,61.15596725838568
V2C-wide,AOM-PLS-best,0,10,0.0,1.6738677511609013,67.38677511609012
V2E-branchSE-dilated,paper Nicon,0,9,0.0,1.1756670848765582,17.566708487655823
V2E-branchSE-dilated,paper TabPFN-raw,3,10,0.3,1.2697225229235896,26.972252292358956
V2E-branchSE-dilated,paper PLS,3,10,0.3,1.2982793409240405,29.82793409240405
V2E-branchSE-dilated,paper CatBoost,2,10,0.2,1.298943034160124,29.894303416012402
V2E-branchSE-dilated,paper Ridge,3,10,0.3,1.3349939635507702,33.49939635507702
V2E-branchSE-dilated,AOM-Ridge-best,1,7,0.14285714285714285,1.388654457187972,38.8654457187972
V2E-branchSE-dilated,paper TabPFN-opt,3,10,0.3,1.4881179163728193,48.81179163728193
V2E-branchSE-dilated,AOM-PLS-best,0,10,0.0,1.6429308905742932,64.29308905742931
V2E-noreg,paper Nicon,1,9,0.1111111111111111,1.1044010523460839,10.440105234608389
V2E-noreg,paper PLS,3,10,0.3,1.152235129940009,15.22351299400091
V2E-noreg,paper CatBoost,3,10,0.3,1.1699441507210233,16.99441507210233
V2E-noreg,paper TabPFN-raw,3,10,0.3,1.1989054781166035,19.890547811660355
V2E-noreg,paper Ridge,3,10,0.3,1.2020504983988989,20.205049839889888
V2E-noreg,AOM-Ridge-best,1,7,0.14285714285714285,1.2707311340374716,27.07311340374716
V2E-noreg,AOM-PLS-best,0,10,0.0,1.4118504234467508,41.18504234467508
V2E-noreg,paper TabPFN-opt,3,10,0.3,1.470766924580476,47.076692458047596
V2G-FrozenMatrix,paper Nicon,2,9,0.2222222222222222,1.3066690173257423,30.666901732574225
V2G-FrozenMatrix,paper CatBoost,3,10,0.3,1.6023835514648086,60.238355146480856
V2G-FrozenMatrix,paper TabPFN-raw,3,10,0.3,1.613435147230267,61.3435147230267
V2G-FrozenMatrix,paper PLS,3,10,0.3,1.6908154549663634,69.08154549663634
V2G-FrozenMatrix,paper Ridge,3,10,0.3,1.7467110656598037,74.67110656598037
V2G-FrozenMatrix,AOM-Ridge-best,1,7,0.14285714285714285,1.756465788345439,75.6465788345439
V2G-FrozenMatrix,paper TabPFN-opt,3,10,0.3,1.8180927403410798,81.80927403410799
V2G-FrozenMatrix,AOM-PLS-best,1,10,0.1,1.8461183114028388,84.61183114028388
