database_name,dataset,AOM-PLS PLS-standard,AOM-PLS-best,AOM-Ridge-best,nicon_v2 Stack-Ridge-PLS-V1c,nicon_v2 V1c-concat-bjerrum (CNN-only),nicon_v2 internal PLS,nicon_v2 internal Ridge,paper CNN,paper Catboost,paper PLS,paper Ridge,paper TabPFN-Raw,paper TabPFN-opt
ECOSIS_LeafTraits,Chla+b_spxyG_species,49.62585242726549,14.019228997409694,,,,,,26.784691491905424,26.549529540829685,65.10231168682624,63.69881633405782,60.69883695501996,49.00256863506216
ECOSIS_LeafTraits,LMA_spxyG_block2deg,,,,,,,,,,,,22.192536591233083,
FUSARIUM,FinalScore_grp70_30_scoreQ,,1.4959948920242627,,,,,,,,,,1.3487084980622803,
FUSARIUM,Fv_Fm_grp70_30,0.0312437833300191,0.0275312994444184,0.0301364783766884,0.0310820186439571,0.0374143663645172,0.0313198185882063,0.0311988791319574,0.0296308592414648,0.0294391221860153,0.0315504531041416,0.0283570670054036,0.0309108634547573,0.0255441423119991
FUSARIUM,Tleaf_grp70_30,,5.033135404555842,,,,,,,,,,2.8869659770405227,
GRAPEVINES,grapevine_chloride_556_KS,999.9623686959302,916.5580773140164,938.8161798346372,1127.1027330744564,1502.1446050670663,1144.8527623709067,1121.6855758253796,1073.719514334624,875.196391770851,915.735138197346,914.9612915669088,1004.7711085771856,771.2750618484285
GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_ASD,3.8675945555060345,3.347000967804583,3.619613971760835,3.617148958220049,4.013450731360477,4.585963522289974,4.055071286774493,3.5145827379590973,3.0972847750626595,3.6181784712144247,4.146281677356247,3.4195867941291915,3.4195867941291915
GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_MicroNIR,4.314700311608212,3.4400208993859405,3.515371319834302,3.974696911135085,4.049809500669987,3.670956427459097,3.520010309727299,3.916115741763163,3.959544574822563,3.7318902219042944,3.647020583392548,4.010255503725023,3.734769944542737
GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,3.863437771536008,3.589473937715188,3.735991262253921,3.6856884617923,4.126312295871685,3.468681335957822,3.968187609628875,3.5599510921190065,4.163476803765716,4.202132209872175,4.127200381549012,4.005316833851728,3.6237328654559775
GRAPEVINE_LeafTraits,An_spxyG70_30_byCultivar_NeoSpectra,5.1975438880467655,4.3170571697034505,4.686971712244227,4.485007226690872,4.380395911778077,4.706793700102449,4.613610392557052,4.11519325075458,4.8041700890023495,4.927187099416517,4.802865456056688,4.374574398786281,4.484544769962023
GRAPEVINE_LeafTraits,LMA_spxyG70_30_byCultivar_ASD,0.3177031876622876,0.3030997913684949,,,,,,0.3080723026334159,0.324087991799308,0.3123729471050324,0.3040851789224942,0.3142029546660064,0.302785366424565
GRAPEVINE_LeafTraits,WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,1.4576145661742068,1.311399393762144,1.4400159886335624,1.502627076617398,1.6781025434991554,1.509258529033683,1.4426645539066452,1.787942024636682,1.7864439261499914,1.85348186559904,1.5951757108023992,1.507199700321095,1.4832810032041188
IncombustibleMaterial,TIC_spxy70,3.9911518618136697,2.948120757463263,3.649992484426337,4.326616665452012,5.060635529347575,3.9481808787900974,4.0784321336732585,4.484732080735033,3.8836388033062335,2.787786960121247,2.506867785916912,3.4640680128660866,2.9618158540951023
LUCAS,LUCAS_SOC_Cropland_8731_NocitaKS,5.35964769022926,4.886152291677484,,,,,,4.208835177803961,4.593548852001947,4.8609064546427785,4.599714710619973,3.752188640829693,3.330519129081399
LUCAS,LUCAS_SOC_all_26650_NocitaKS,,,,,,,,,9.320681577794335,,,6.310093708139271,5.549614417482722
LUCAS,LUCAS_pH_Organic_1763_LiuRandomOrganic,0.5152297573011926,0.38573626859797,,,,,,0.2937801661651289,0.390868687416521,0.3281973936518934,0.3307517321744063,0.3437161762845032,0.2503169152062248
MALARIA,Malaria_Oocist_333_Maia,7953.722591100652,7732.99456416378,,,,,,7781.917056183684,8008.055653763267,,,7872.586562811307,8084.587736739721
MALARIA,Malaria_Sporozoite_229_Maia,34187.77637020566,33702.37703438236,,,,,,34339.01626517134,36236.08587813769,,,35027.55533360475,34162.99329936347
MANURE21,All_manure_CaO_SPXY_strat_Manure_type,8.735720415945678,7.235524415543641,7.133220363198135,7.837948840900037,12.289070605289764,8.94723945786932,7.858117541476655,6.357270272396967,6.548555293539626,7.528544191989094,6.898422615369386,5.561677568553957,5.621742848992302
MANURE21,All_manure_K2O_SPXY_strat_Manure_type,2.593980584929294,2.267624180397946,2.330309146570733,2.64328825522342,4.092569644014676,2.730354318169033,2.6178361136942723,2.83999836949951,2.9866502830487853,2.36091887824198,2.341854235430136,2.6794924408313463,2.658345589992729
